credito_id,cliente_id,producto_id,monto_aprobado,saldo_actual,dias_mora,fecha_desembolso
157,3828,50,10819,9571,10,2025-05-30 23:23:15.242552
158,2057,46,7166,5939,90,2026-03-06 23:23:15.242552
159,4248,47,19521,8814,90,2026-02-04 23:23:15.242552
160,3231,39,15070,4299,0,2025-10-04 23:23:15.242552
161,8965,47,12725,4678,40,2025-07-23 23:23:15.242552
162,7874,25,16414,16322,0,2025-03-10 23:23:15.242552
163,3931,6,5064,2561,0,2026-02-11 23:23:15.242552
164,9271,27,18317,16573,0,2025-10-23 23:23:15.242552
165,3006,11,15562,10204,10,2025-07-05 23:23:15.242552
166,7609,16,2166,1034,0,2025-10-16 23:23:15.242552
167,3774,28,9500,5763,20,2025-07-05 23:23:15.242552
168,6429,21,9967,107,0,2025-05-02 23:23:15.242552
169,9957,10,11945,10996,10,2025-04-19 23:23:15.242552
170,7912,32,16569,11535,40,2026-02-06 23:23:15.242552
171,862,6,3858,98,40,2025-10-10 23:23:15.242552
172,5833,2,6053,3883,20,2025-04-19 23:23:15.242552
173,3198,34,3282,3031,0,2025-07-26 23:23:15.242552
174,621,32,9881,3123,0,2025-09-24 23:23:15.242552
175,4626,6,12144,3804,0,2025-04-26 23:23:15.242552
176,5609,22,6146,1025,0,2025-10-13 23:23:15.242552
177,8702,23,15252,13212,0,2025-08-17 23:23:15.242552
178,2185,20,7983,1135,40,2025-06-01 23:23:15.242552
179,8950,20,11799,4827,20,2026-01-29 23:23:15.242552
180,1722,31,8153,3523,40,2025-04-07 23:23:15.242552
181,9570,32,10488,2199,0,2026-02-20 23:23:15.242552
182,7838,30,10210,5910,20,2026-02-09 23:23:15.242552
183,6078,31,17473,17065,0,2025-03-27 23:23:15.242552
184,3785,47,7264,528,20,2025-05-25 23:23:15.242552
185,4787,43,4540,1927,0,2025-08-23 23:23:15.242552
186,408,28,12793,5131,90,2025-08-26 23:23:15.242552
187,4344,26,6570,4455,10,2025-08-10 23:23:15.242552
188,6710,14,18883,16326,0,2026-01-16 23:23:15.242552
189,1479,30,6753,5562,0,2026-02-14 23:23:15.242552
190,4494,38,3334,1492,90,2025-09-11 23:23:15.242552
191,1378,27,16734,13358,0,2025-09-25 23:23:15.242552
192,8403,20,5697,3565,0,2025-11-17 23:23:15.242552
193,384,37,19115,13534,10,2026-01-14 23:23:15.242552
194,7742,12,11507,5738,0,2025-12-13 23:23:15.242552
195,1712,43,17249,16378,0,2025-12-16 23:23:15.242552
196,2757,43,17133,10751,0,2025-08-26 23:23:15.242552
197,2995,50,8585,1933,0,2025-11-21 23:23:15.242552
198,9045,13,10238,5102,20,2025-03-24 23:23:15.242552
199,9395,45,8520,1650,90,2025-11-22 23:23:15.242552
200,8247,47,3927,2600,0,2025-04-05 23:23:15.242552
201,3747,23,8592,1897,90,2025-04-26 23:23:15.242552
202,9698,12,5067,4519,0,2025-12-04 23:23:15.242552
203,3508,44,14703,4390,0,2025-06-30 23:23:15.242552
204,2783,33,11836,2748,0,2025-11-24 23:23:15.242552
205,2952,42,18237,5716,10,2026-02-11 23:23:15.242552
206,8467,21,8883,8771,10,2025-10-24 23:23:15.242552
207,9384,8,16098,14275,0,2025-08-28 23:23:15.242552
208,4351,18,3538,425,90,2025-07-09 23:23:15.242552
209,6114,18,16272,10728,90,2025-09-10 23:23:15.242552
210,8973,3,3137,2873,10,2025-10-12 23:23:15.242552
211,7383,49,11688,9657,0,2025-04-07 23:23:15.242552
212,2949,18,15190,12932,10,2025-05-19 23:23:15.242552
213,5568,7,10176,1709,40,2025-03-25 23:23:15.242552
214,3293,44,18363,1819,0,2026-01-01 23:23:15.242552
215,6914,4,17528,8557,90,2025-05-21 23:23:15.242552
216,1880,18,10352,821,0,2025-10-11 23:23:15.242552
217,4427,23,14279,6240,90,2025-11-28 23:23:15.242552
218,7949,28,15963,8181,0,2025-03-11 23:23:15.242552
219,7644,15,14247,12872,0,2025-04-12 23:23:15.242552
220,164,16,11659,4794,0,2025-07-30 23:23:15.242552
221,2250,36,5640,2076,90,2025-07-02 23:23:15.242552
222,1186,32,6403,800,10,2025-08-06 23:23:15.242552
223,787,27,9066,11,0,2025-09-02 23:23:15.242552
224,562,13,16505,2340,10,2025-03-15 23:23:15.242552
225,2347,49,5485,2989,10,2025-07-18 23:23:15.242552
226,4922,21,16941,11478,90,2025-06-09 23:23:15.242552
227,9340,38,19954,7587,10,2025-09-03 23:23:15.242552
228,3253,40,12273,9728,0,2025-04-24 23:23:15.242552
229,7979,24,3084,1184,40,2025-10-07 23:23:15.242552
230,7765,3,9347,5723,20,2025-06-04 23:23:15.242552
231,5110,30,3121,2266,0,2025-10-25 23:23:15.242552
232,4105,5,1866,461,40,2025-04-10 23:23:15.242552
233,9227,3,4136,3168,0,2025-06-27 23:23:15.242552
234,818,38,17904,8790,90,2025-06-28 23:23:15.242552
235,9060,31,7668,2306,40,2025-03-31 23:23:15.242552
236,4323,7,3563,1758,0,2025-07-16 23:23:15.242552
237,4965,27,18447,12576,0,2025-06-09 23:23:15.242552
238,8362,21,1498,37,0,2026-03-06 23:23:15.242552
239,7273,17,12066,6132,40,2025-07-02 23:23:15.242552
240,3380,49,9007,1244,0,2025-08-25 23:23:15.242552
241,3328,26,15321,3716,10,2025-03-10 23:23:15.242552
242,8921,32,3818,1088,90,2025-04-10 23:23:15.242552
243,3232,32,11883,4047,10,2025-08-12 23:23:15.242552
244,3084,30,1420,596,40,2026-02-09 23:23:15.242552
245,831,25,12665,8450,40,2026-01-26 23:23:15.242552
246,2506,23,9297,3196,90,2025-04-02 23:23:15.242552
247,2224,32,1791,461,10,2025-08-23 23:23:15.242552
248,1248,19,1929,1306,20,2025-09-10 23:23:15.242552
249,9779,20,17809,16895,10,2025-03-07 23:23:15.242552
250,1601,25,13351,3507,90,2025-03-23 23:23:15.242552
251,3998,1,8930,27,0,2025-06-08 23:23:15.242552
252,2145,49,10199,9242,20,2025-05-14 23:23:15.242552
253,5426,44,3061,659,0,2025-11-26 23:23:15.242552
254,6218,48,10927,10138,0,2025-03-17 23:23:15.242552
255,540,32,5243,4167,0,2025-09-14 23:23:15.242552
256,5985,26,16203,6812,40,2025-08-28 23:23:15.242552
257,3837,43,1146,887,10,2025-12-15 23:23:15.242552
258,3018,16,19722,9939,90,2025-06-14 23:23:15.242552
259,4544,4,7855,3726,10,2025-09-10 23:23:15.242552
260,957,18,17766,13031,10,2025-05-27 23:23:15.242552
261,1737,42,8476,4977,20,2025-11-13 23:23:15.242552
262,1189,25,16041,10049,90,2025-11-13 23:23:15.242552
263,4729,35,5182,3642,40,2025-05-13 23:23:15.242552
264,2651,40,7176,42,10,2026-03-05 23:23:15.242552
265,1383,6,16357,3387,40,2025-11-16 23:23:15.242552
266,584,49,11142,11102,0,2026-01-18 23:23:15.242552
267,5644,8,6512,6457,0,2025-07-06 23:23:15.242552
268,8506,21,9946,5594,40,2025-11-05 23:23:15.242552
269,9757,10,18961,13476,40,2026-01-25 23:23:15.242552
270,2054,24,9221,7891,0,2025-04-15 23:23:15.242552
271,5631,28,8060,2613,40,2025-11-11 23:23:15.242552
272,8051,37,2249,1959,10,2025-06-18 23:23:15.242552
273,6301,13,10251,4206,10,2026-02-23 23:23:15.242552
274,14,33,18538,9230,40,2025-09-30 23:23:15.242552
275,6130,29,15523,4288,0,2025-05-09 23:23:15.242552
276,4333,9,17144,56,10,2025-06-11 23:23:15.242552
277,4166,37,7545,3925,40,2025-06-05 23:23:15.242552
278,2886,37,11862,321,0,2025-08-11 23:23:15.242552
279,5818,7,8274,6547,10,2026-01-31 23:23:15.242552
280,4792,41,4403,813,20,2025-11-27 23:23:15.242552
281,2470,24,13769,2555,90,2025-10-24 23:23:15.242552
282,5303,13,11584,9898,20,2026-02-28 23:23:15.242552
283,7010,24,10888,6691,0,2025-08-13 23:23:15.242552
284,812,7,5479,211,20,2026-03-02 23:23:15.242552
285,6026,39,9020,6431,0,2025-04-09 23:23:15.242552
286,9154,37,15942,12538,20,2025-06-18 23:23:15.242552
287,4472,2,18097,17072,40,2026-02-06 23:23:15.242552
288,1517,18,17478,415,0,2025-05-19 23:23:15.242552
289,1563,34,15102,4661,40,2026-03-02 23:23:15.242552
290,1985,26,17045,8712,90,2025-08-21 23:23:15.242552
291,8292,36,6947,1707,0,2025-10-25 23:23:15.242552
292,7075,26,3404,187,0,2025-12-21 23:23:15.242552
293,4733,40,9893,8666,0,2026-01-22 23:23:15.242552
294,3888,2,14828,1583,20,2025-10-12 23:23:15.242552
295,9834,43,17646,9225,0,2025-08-28 23:23:15.242552
296,9474,22,5634,2142,10,2025-09-05 23:23:15.242552
297,1967,25,8549,7145,40,2025-11-13 23:23:15.242552
298,6992,45,16113,12654,0,2025-10-10 23:23:15.242552
299,1416,15,12934,1730,90,2025-07-19 23:23:15.242552
300,3897,41,3099,1407,20,2025-10-05 23:23:15.242552
301,2949,37,18815,16995,0,2025-04-05 23:23:15.242552
302,6555,5,8201,4626,10,2025-11-25 23:23:15.242552
303,3009,49,19237,4796,40,2025-06-28 23:23:15.242552
304,1943,12,18225,10586,20,2026-02-07 23:23:15.242552
305,8819,35,6097,1715,10,2025-05-22 23:23:15.242552
306,5099,33,2449,674,10,2025-08-28 23:23:15.242552
307,2710,47,1002,129,0,2025-05-04 23:23:15.242552
308,5595,27,15625,14851,10,2025-06-13 23:23:15.242552
309,1371,28,8832,6540,90,2025-04-05 23:23:15.242552
310,1345,16,7376,7257,0,2025-06-17 23:23:15.242552
311,6809,22,7752,3180,0,2025-06-30 23:23:15.242552
312,5675,25,3876,397,10,2025-07-04 23:23:15.242552
313,6802,6,11722,2899,0,2025-11-24 23:23:15.242552
314,3231,37,3763,1337,0,2025-04-19 23:23:15.242552
315,2125,27,10031,2168,0,2025-11-18 23:23:15.242552
316,5795,26,2123,1270,90,2025-09-27 23:23:15.242552
317,7713,18,13810,255,40,2025-08-25 23:23:15.242552
318,4755,12,4283,1327,20,2025-06-01 23:23:15.242552
319,4712,15,12789,7468,20,2026-02-23 23:23:15.242552
320,7707,27,19405,15822,90,2026-02-24 23:23:15.242552
321,1707,43,17678,9857,10,2025-05-29 23:23:15.242552
322,1819,4,10303,5506,20,2025-11-28 23:23:15.242552
323,6000,33,12735,891,90,2025-10-25 23:23:15.242552
324,4393,37,5121,2972,20,2025-03-08 23:23:15.242552
325,6012,16,12718,1845,0,2025-04-01 23:23:15.242552
326,5159,23,18214,17244,90,2025-07-08 23:23:15.242552
327,4473,32,16771,47,0,2025-04-22 23:23:15.242552
328,3746,15,12128,4350,40,2025-12-12 23:23:15.242552
329,1401,42,5933,3266,90,2026-01-12 23:23:15.242552
330,548,23,19395,18936,90,2026-02-02 23:23:15.242552
331,8340,1,6708,701,20,2025-11-01 23:23:15.242552
332,360,27,8886,551,90,2025-04-19 23:23:15.242552
333,6659,22,11381,113,0,2025-11-14 23:23:15.242552
334,891,31,16375,12152,0,2025-10-29 23:23:15.242552
335,5533,47,5952,3448,0,2025-04-14 23:23:15.242552
336,4845,43,17082,15250,90,2025-09-12 23:23:15.242552
337,5596,14,19758,16087,0,2025-08-22 23:23:15.242552
338,891,30,19972,14917,40,2025-06-08 23:23:15.242552
339,7489,26,11558,5995,0,2025-03-28 23:23:15.242552
340,4809,27,16435,5117,0,2026-03-02 23:23:15.242552
341,9079,14,4473,2588,0,2025-07-17 23:23:15.242552
342,8265,5,19340,4,0,2025-06-28 23:23:15.242552
343,7125,22,13918,9655,0,2025-08-12 23:23:15.242552
344,9013,17,16511,15499,0,2025-08-16 23:23:15.242552
345,7506,37,17576,15903,0,2025-09-05 23:23:15.242552
346,7164,15,12079,2226,40,2025-06-18 23:23:15.242552
347,181,49,19164,4824,40,2025-09-27 23:23:15.242552
348,4548,17,10097,5083,10,2025-10-04 23:23:15.242552
349,2478,23,2761,415,10,2025-10-01 23:23:15.242552
350,8025,38,7934,4470,10,2025-09-28 23:23:15.242552
351,9656,16,14773,11278,0,2025-10-17 23:23:15.242552
352,3158,15,3792,1397,0,2025-12-20 23:23:15.242552
353,1069,10,6977,1550,0,2025-05-12 23:23:15.242552
354,2855,35,4427,3380,0,2025-12-17 23:23:15.242552
355,6016,2,9419,7631,0,2025-09-16 23:23:15.242552
356,6534,30,7850,190,0,2026-01-18 23:23:15.242552
357,6539,39,19643,16665,20,2025-06-07 23:23:15.242552
358,6723,25,6732,5500,20,2026-01-03 23:23:15.242552
359,5192,38,6762,6297,90,2025-09-24 23:23:15.242552
360,993,45,15914,6916,10,2025-03-12 23:23:15.242552
361,5491,15,7390,1362,0,2026-02-25 23:23:15.242552
362,7895,25,15070,4409,0,2025-10-10 23:23:15.242552
363,2925,4,4606,2441,10,2025-04-01 23:23:15.242552
364,6871,14,7854,3046,0,2025-06-20 23:23:15.242552
365,2615,41,16497,12006,10,2025-10-18 23:23:15.242552
366,9728,9,16548,13828,10,2025-11-19 23:23:15.242552
367,6402,19,6162,4957,0,2026-02-09 23:23:15.242552
368,9085,24,17467,13656,0,2025-07-20 23:23:15.242552
369,9497,50,14980,13435,40,2025-08-21 23:23:15.242552
370,3386,1,1595,1009,0,2025-09-14 23:23:15.242552
371,959,8,2213,1157,0,2025-08-29 23:23:15.242552
372,9145,36,11638,10607,0,2026-01-09 23:23:15.242552
373,6953,50,12406,9313,40,2025-04-29 23:23:15.242552
374,9917,42,1638,734,0,2025-04-18 23:23:15.242552
375,2328,47,9961,7472,0,2026-02-20 23:23:15.242552
376,9899,4,5889,2867,0,2025-11-09 23:23:15.242552
377,7891,19,18845,2105,40,2025-04-30 23:23:15.242552
378,4857,49,11710,10316,40,2025-09-09 23:23:15.242552
379,8631,8,4174,555,0,2025-09-27 23:23:15.242552
380,8043,32,9169,7038,10,2025-03-06 23:23:15.242552
381,1708,40,19510,16571,40,2025-05-07 23:23:15.242552
382,5735,35,12000,7566,0,2025-09-30 23:23:15.242552
383,9327,38,5555,1240,0,2025-07-25 23:23:15.242552
384,1250,13,9731,8120,0,2025-04-13 23:23:15.242552
385,1645,24,5522,2292,20,2025-10-08 23:23:15.242552
386,84,31,10032,2075,40,2026-01-20 23:23:15.242552
387,9225,29,4010,1547,90,2025-03-11 23:23:15.242552
388,6096,30,17902,1095,20,2025-07-21 23:23:15.242552
389,7515,19,10972,10942,10,2025-05-21 23:23:15.242552
390,4456,44,6131,3838,90,2025-11-29 23:23:15.242552
391,5756,5,4801,292,0,2025-03-10 23:23:15.242552
392,4622,24,12884,12147,0,2025-09-10 23:23:15.242552
393,2482,38,13413,8177,0,2025-04-17 23:23:15.242552
394,8458,31,13677,9792,0,2025-09-24 23:23:15.242552
395,9438,4,12575,5004,10,2026-02-10 23:23:15.242552
396,668,50,19469,11176,0,2026-02-10 23:23:15.242552
397,7299,2,18122,1145,20,2025-04-28 23:23:15.242552
398,2635,2,18520,5068,20,2025-11-27 23:23:15.242552
399,8580,34,14532,3904,0,2026-02-12 23:23:15.242552
400,3675,20,15982,4876,0,2025-11-13 23:23:15.242552
401,2944,24,18694,5776,40,2025-11-11 23:23:15.242552
402,5314,26,18474,588,90,2025-05-04 23:23:15.242552
403,561,19,16477,2365,90,2025-11-07 23:23:15.242552
404,9870,25,8394,5065,90,2025-06-23 23:23:15.242552
405,5455,2,3197,1505,10,2025-12-15 23:23:15.242552
406,2289,18,9070,5283,10,2026-01-11 23:23:15.242552
407,4116,38,3621,1780,0,2025-06-27 23:23:15.242552
408,1296,2,11609,963,0,2025-11-02 23:23:15.242552
409,2662,46,12050,11894,0,2025-09-09 23:23:15.242552
410,2983,8,13182,12747,40,2025-03-17 23:23:15.242552
411,1949,44,5186,2978,20,2025-11-01 23:23:15.242552
412,8807,38,8998,1303,0,2026-02-17 23:23:15.242552
413,5667,50,2838,1744,0,2025-03-31 23:23:15.242552
414,1032,36,19791,18592,40,2025-04-24 23:23:15.242552
415,1379,32,7198,4665,40,2025-04-08 23:23:15.242552
416,1277,20,15216,8015,0,2026-01-11 23:23:15.242552
417,9300,1,5885,104,0,2025-10-25 23:23:15.242552
418,687,41,4252,15,20,2025-05-09 23:23:15.242552
419,8995,3,19885,2362,90,2025-08-18 23:23:15.242552
420,5788,45,1468,206,10,2025-05-12 23:23:15.242552
421,7400,38,12490,8686,0,2026-02-25 23:23:15.242552
422,955,20,6279,3946,0,2026-02-20 23:23:15.242552
423,4297,10,2649,2033,20,2026-03-04 23:23:15.242552
424,4928,29,19815,17735,40,2025-11-29 23:23:15.242552
425,2233,31,18817,11672,40,2026-01-17 23:23:15.242552
426,7373,28,3165,2653,0,2026-01-31 23:23:15.242552
427,2837,13,4449,645,40,2025-08-01 23:23:15.242552
428,2558,7,7225,547,0,2025-12-20 23:23:15.242552
429,8618,28,17378,4234,0,2025-09-26 23:23:15.242552
430,9344,42,19031,12175,0,2026-02-11 23:23:15.242552
431,2038,14,7282,3282,10,2025-12-04 23:23:15.242552
432,1573,21,19330,13377,90,2025-04-08 23:23:15.242552
433,9855,19,12908,6464,90,2025-05-03 23:23:15.242552
434,3529,27,18677,1688,0,2025-08-30 23:23:15.242552
435,7912,28,2965,2245,10,2026-03-04 23:23:15.242552
436,7939,17,17078,11542,0,2025-07-12 23:23:15.242552
437,3807,11,11397,4311,0,2025-11-26 23:23:15.242552
438,8145,32,19084,17415,90,2025-04-21 23:23:15.242552
439,9171,49,5881,3150,10,2025-09-11 23:23:15.242552
440,6418,31,9182,1721,0,2025-04-23 23:23:15.242552
441,1945,16,5101,1167,20,2025-03-19 23:23:15.242552
442,3977,8,10017,5843,20,2025-12-08 23:23:15.242552
443,4748,24,14882,10402,0,2025-06-02 23:23:15.242552
444,6058,29,15196,1507,0,2025-10-27 23:23:15.242552
445,3278,22,6808,1192,40,2025-11-12 23:23:15.242552
446,4091,47,19413,3056,0,2025-04-18 23:23:15.242552
447,5203,17,8029,5600,90,2025-11-29 23:23:15.242552
448,6557,34,5989,1814,0,2025-05-23 23:23:15.242552
449,1613,45,1747,603,20,2025-04-05 23:23:15.242552
450,4309,49,7277,2087,0,2025-06-26 23:23:15.242552
451,6793,2,8361,5475,10,2025-11-13 23:23:15.242552
